2017-01-28_20_59_35,1111000100010011001_2017-01-28_20_59_35_WebCam.jpg,1111000100010011001,OK
2017-01-28_21_00_56,None,1111000000000000000,BAD
2017-01-28_21_02_16,None,1111000000000000001,BAD
2017-01-28_21_03_36,None,1111000000000000010,BAD
2017-01-28_21_04_56,None,1111000000000000011,BAD
2017-01-28_21_06_16,None,1111000000000000100,BAD
2017-01-28_21_07_36,None,1111000000000000101,BAD
2017-01-28_21_08_56,None,1111000000000000110,BAD
2017-01-28_21_10_16,None,1111000000000000111,BAD
2017-01-28_21_11_37,None,1111000000000001000,BAD
2017-01-28_21_12_57,None,1111000000000001001,BAD
2017-01-28_21_14_17,None,1111000000000001010,BAD
2017-01-28_21_15_37,None,1111000000000001011,BAD
2017-01-28_21_16_57,None,1111000000000001100,BAD
2017-01-28_21_18_17,None,1111000000000001101,BAD
2017-01-28_21_19_37,None,1111000000000001110,BAD
2017-01-28_21_20_58,None,1111000000000001111,BAD
2017-01-28_21_22_18,None,1111000000000010000,BAD
2017-01-28_21_23_38,None,1111000000000010001,BAD
2017-01-28_21_24_58,None,1111000000000010010,BAD
2017-01-28_21_26_18,None,1111000000000010011,BAD
2017-01-28_21_27_38,None,1111000000000010100,BAD
2017-01-28_21_28_58,None,1111000000000010101,BAD
2017-01-28_21_30_18,None,1111000000000010110,BAD
2017-01-28_21_31_38,None,1111000000000010111,BAD
2017-01-28_21_32_59,None,1111000000000011000,BAD
2017-01-28_21_34_19,None,1111000000000011001,BAD
2017-01-28_21_35_39,None,1111000000000011010,BAD
2017-01-28_21_36_59,None,1111000000000011011,BAD
2017-01-28_21_38_19,None,1111000000000011100,BAD
2017-01-28_21_39_39,None,1111000000000011101,BAD
2017-01-28_21_40_59,None,1111000000000011110,BAD
2017-01-28_21_42_19,None,1111000000000011111,BAD
2017-01-28_21_43_39,None,1111000000000100000,BAD
2017-01-28_21_45_00,None,1111000000000100001,BAD
2017-01-28_21_46_20,None,1111000000000100010,BAD
2017-01-28_21_47_40,None,1111000000000100011,BAD
2017-01-28_21_49_00,None,1111000000000100100,BAD
2017-01-28_21_50_20,None,1111000000000100101,BAD
